Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(175, 0.0)","(144, 0.0)","(136, 0.0)","(114, 0.0)","(76, 0.04630586386754213)","(174, 0.0)","(183, 0.0)","(121, 0.0)","(122, 0.0)"
"(176, 0.0)","(145, 0.0)","(137, 0.0)","(117, 0.0)","(278, 0.04606860199027208)","(175, 0.0)","(185, 0.0)","(122, 0.0)","(123, 0.0)"
"(177, 0.0)","(146, 0.0)","(138, 0.0)","(12, 0.0)","(309, 0.04535877434680925)","(176, 0.0)","(186, 0.0)","(123, 0.0)","(124, 0.0)"
"(179, 0.0)","(147, 0.0)","(140, 0.0)","(121, 0.0)","(75, 0.04468663534994369)","(177, 0.0)","(187, 0.0)","(124, 0.0)","(126, 0.0)"
"(180, 0.0)","(148, 0.0)","(141, 0.0)","(122, 0.0)","(273, 0.04354673561942325)","(179, 0.0)","(189, 0.0)","(126, 0.0)","(127, 0.0)"
"(182, 0.0)","(149, 0.0)","(143, 0.0)","(123, 0.0)","(642, 0.04323683740758848)","(18, 0.0)","(19, 0.0)","(127, 0.0)","(128, 0.0)"
"(189, 0.0)","(15, 0.0)","(144, 0.0)","(125, 0.0)","(612, 0.04302697712111493)","(180, 0.0)","(190, 0.0)","(128, 0.0)","(13, 0.0)"
"(191, 0.0)","(150, 0.0)","(145, 0.0)","(127, 0.0)","(87, 0.042610033323823716)","(181, 0.0)","(192, 0.0)","(129, 0.0)","(131, 0.0)"
"(192, 0.0)","(151, 0.0)","(147, 0.0)","(128, 0.0)","(129, 0.04226589634124118)","(184, 0.0)","(193, 0.0)","(13, 0.0)","(132, 0.0)"
"(193, 0.0)","(153, 0.0)","(148, 0.0)","(129, 0.0)","(488, 0.041614523620645695)","(189, 0.0)","(194, 0.0)","(131, 0.0)","(133, 0.0)"
"(194, 0.0)","(155, 0.0)","(149, 0.0)","(131, 0.0)","(206, 0.04117725921054099)","(190, 0.0)","(196, 0.0)","(132, 0.0)","(134, 0.0)"
"(195, 0.0)","(159, 0.0)","(15, 0.0)","(133, 0.0)","(54, 0.04113894137565887)","(191, 0.0)","(197, 0.0)","(133, 0.0)","(135, 0.0)"
"(196, 0.0)","(163, 0.0)","(150, 0.0)","(138, 0.0)","(508, 0.040316443115943366)","(192, 0.0)","(198, 0.0)","(135, 0.0)","(136, 0.0)"
"(198, 0.0)","(167, 0.0)","(153, 0.0)","(140, 0.0)","(520, 0.039579062415519235)","(193, 0.0)","(199, 0.0)","(136, 0.0)","(137, 0.0)"
"(199, 0.0)","(170, 0.0)","(155, 0.0)","(141, 0.0)","(276, 0.038823704834027715)","(198, 0.0)","(2, 0.0)","(137, 0.0)","(138, 0.0)"
"(2, 0.0)","(175, 0.0)","(158, 0.0)","(143, 0.0)","(44, 0.038823704834027715)","(199, 0.0)","(200, 0.0)","(138, 0.0)","(139, 0.0)"
"(200, 0.0)","(176, 0.0)","(159, 0.0)","(144, 0.0)","(577, 0.03882370483402769)","(2, 0.0)","(201, 0.0)","(14, 0.0)","(140, 0.0)"
"(201, 0.0)","(177, 0.0)","(16, 0.0)","(145, 0.0)","(115, 0.03851949847978785)","(20, 0.0)","(202, 0.0)","(140, 0.0)","(141, 0.0)"
"(207, 0.0)","(178, 0.0)","(163, 0.0)","(147, 0.0)","(551, 0.03746104254126341)","(200, 0.0)","(203, 0.0)","(141, 0.0)","(142, 0.0)"
"(208, 0.0)","(179, 0.0)","(165, 0.0)","(148, 0.0)","(233, 0.037434389610160476)","(201, 0.0)","(204, 0.0)","(143, 0.0)","(143, 0.0)"
"(209, 0.0)","(180, 0.0)","(167, 0.0)","(149, 0.0)","(616, 0.037004119759311546)","(202, 0.0)","(206, 0.0)","(144, 0.0)","(144, 0.0)"
"(21, 0.0)","(181, 0.0)","(169, 0.0)","(15, 0.0)","(300, 0.03696178851798154)","(203, 0.0)","(207, 0.0)","(147, 0.0)","(145, 0.0)"
"(216, 0.0)","(182, 0.0)","(170, 0.0)","(150, 0.0)","(546, 0.03594376628297962)","(204, 0.0)","(208, 0.0)","(148, 0.0)","(146, 0.0)"
"(218, 0.0)","(189, 0.0)","(173, 0.0)","(153, 0.0)","(116, 0.03540058961872317)","(206, 0.0)","(209, 0.0)","(149, 0.0)","(147, 0.0)"
"(219, 0.0)","(191, 0.0)","(174, 0.0)","(158, 0.0)","(478, 0.03531860961499347)","(207, 0.0)","(21, 0.0)","(15, 0.0)","(148, 0.0)"
"(22, 0.0)","(192, 0.0)","(175, 0.0)","(159, 0.0)","(638, 0.034597076355597785)","(208, 0.0)","(212, 0.0)","(150, 0.0)","(149, 0.0)"
"(220, 0.0)","(193, 0.0)","(176, 0.0)","(16, 0.0)","(412, 0.03312218243105539)","(209, 0.0)","(215, 0.0)","(153, 0.0)","(150, 0.0)"
"(224, 0.0)","(194, 0.0)","(177, 0.0)","(163, 0.0)","(322, 0.029715564607183602)","(21, 0.0)","(216, 0.0)","(154, 0.0)","(151, 0.0)"
"(226, 0.0)","(195, 0.0)","(179, 0.0)","(165, 0.0)","(547, 0.029715564607183595)","(215, 0.0)","(218, 0.0)","(155, 0.0)","(153, 0.0)"
"(227, 0.0)","(196, 0.0)","(18, 0.0)","(167, 0.0)","(654, 0.029703708140424737)","(216, 0.0)","(22, 0.0)","(157, 0.0)","(154, 0.0)"
"(228, 0.0)","(198, 0.0)","(180, 0.0)","(170, 0.0)","(321, 0.02935967674374069)","(22, 0.0)","(220, 0.0)","(16, 0.0)","(157, 0.0)"
"(229, 0.0)","(199, 0.0)","(181, 0.0)","(174, 0.0)","(290, 0.029359676743740685)","(220, 0.0)","(221, 0.0)","(160, 0.0)","(158, 0.0)"
"(23, 0.0)","(2, 0.0)","(182, 0.0)","(175, 0.0)","(323, 0.02935967674374068)","(221, 0.0)","(224, 0.0)","(161, 0.0)","(16, 0.0)"
"(230, 0.0)","(200, 0.0)","(189, 0.0)","(176, 0.0)","(100, 0.02901977862378297)","(222, 0.0)","(227, 0.0)","(162, 0.0)","(160, 0.0)"
"(231, 0.0)","(201, 0.0)","(19, 0.0)","(177, 0.0)","(222, 0.02718177885217986)","(224, 0.0)","(228, 0.0)","(163, 0.0)","(161, 0.0)"
"(24, 0.0)","(207, 0.0)","(190, 0.0)","(179, 0.0)","(635, 0.02717093336222643)","(227, 0.0)","(229, 0.0)","(164, 0.0)","(162, 0.0)"
"(242, 0.0)","(208, 0.0)","(192, 0.0)","(18, 0.0)","(554, 0.027078984085456365)","(228, 0.0)","(23, 0.0)","(165, 0.0)","(163, 0.0)"
"(243, 0.0)","(209, 0.0)","(193, 0.0)","(180, 0.0)","(272, 0.026844239163947986)","(229, 0.0)","(230, 0.0)","(17, 0.0)","(165, 0.0)"
"(244, 0.0)","(21, 0.0)","(194, 0.0)","(181, 0.0)","(579, 0.026553904790717786)","(23, 0.0)","(233, 0.0)","(170, 0.0)","(17, 0.0)"
"(245, 0.0)","(216, 0.0)","(196, 0.0)","(184, 0.0)","(182, 0.02651658375359419)","(230, 0.0)","(234, 0.0)","(174, 0.0)","(170, 0.0)"
"(247, 0.0)","(218, 0.0)","(197, 0.0)","(189, 0.0)","(456, 0.02608131070005233)","(233, 0.0)","(242, 0.0)","(176, 0.0)","(174, 0.0)"
"(248, 0.0)","(219, 0.0)","(198, 0.0)","(190, 0.0)","(645, 0.02396251085531976)","(242, 0.0)","(243, 0.0)","(177, 0.0)","(175, 0.0)"
"(251, 0.0)","(220, 0.0)","(199, 0.0)","(191, 0.0)","(477, 0.023692443590970946)","(243, 0.0)","(244, 0.0)","(179, 0.0)","(176, 0.0)"
"(252, 0.0)","(221, 0.0)","(2, 0.0)","(193, 0.0)","(310, 0.021962003967140743)","(244, 0.0)","(247, 0.0)","(18, 0.0)","(177, 0.0)"
"(253, 0.0)","(224, 0.0)","(200, 0.0)","(194, 0.0)","(98, 0.0)","(245, 0.0)","(248, 0.0)","(180, 0.0)","(178, 0.0)"
"(256, 0.0)","(227, 0.0)","(201, 0.0)","(196, 0.0)","(1, 0.0)","(247, 0.0)","(25, 0.0)","(182, 0.0)","(179, 0.0)"
"(261, 0.0)","(228, 0.0)","(204, 0.0)","(198, 0.0)","(101, 0.0)","(248, 0.0)","(250, 0.0)","(189, 0.0)","(18, 0.0)"
"(263, 0.0)","(229, 0.0)","(206, 0.0)","(199, 0.0)","(102, 0.0)","(25, 0.0)","(251, 0.0)","(19, 0.0)","(180, 0.0)"
"(267, 0.0)","(230, 0.0)","(207, 0.0)","(2, 0.0)","(103, 0.0)","(250, 0.0)","(253, 0.0)","(190, 0.0)","(181, 0.0)"
"(268, 0.0)","(231, 0.0)","(208, 0.0)","(200, 0.0)","(107, 0.0)","(251, 0.0)","(256, 0.0)","(192, 0.0)","(182, 0.0)"
"(27, 0.0)","(237, 0.0)","(209, 0.0)","(201, 0.0)","(108, 0.0)","(252, 0.0)","(26, 0.0)","(193, 0.0)","(184, 0.0)"
"(270, 0.0)","(24, 0.0)","(21, 0.0)","(204, 0.0)","(109, 0.0)","(256, 0.0)","(261, 0.0)","(194, 0.0)","(186, 0.0)"
"(271, 0.0)","(242, 0.0)","(216, 0.0)","(206, 0.0)","(111, 0.0)","(26, 0.0)","(263, 0.0)","(195, 0.0)","(188, 0.0)"
"(272, 0.0)","(243, 0.0)","(218, 0.0)","(207, 0.0)","(113, 0.0)","(261, 0.0)","(267, 0.0)","(197, 0.0)","(189, 0.0)"
"(273, 0.0)","(244, 0.0)","(219, 0.0)","(208, 0.0)","(114, 0.0)","(263, 0.0)","(268, 0.0)","(198, 0.0)","(190, 0.0)"
"(274, 0.0)","(245, 0.0)","(22, 0.0)","(209, 0.0)","(117, 0.0)","(267, 0.0)","(27, 0.0)","(2, 0.0)","(191, 0.0)"
"(276, 0.0)","(247, 0.0)","(220, 0.0)","(21, 0.0)","(121, 0.0)","(268, 0.0)","(270, 0.0)","(20, 0.0)","(192, 0.0)"
"(278, 0.0)","(248, 0.0)","(221, 0.0)","(216, 0.0)","(122, 0.0)","(27, 0.0)","(271, 0.0)","(201, 0.0)","(193, 0.0)"
"(279, 0.0)","(251, 0.0)","(224, 0.0)","(218, 0.0)","(123, 0.0)","(270, 0.0)","(274, 0.0)","(202, 0.0)","(194, 0.0)"
"(28, 0.0)","(252, 0.0)","(226, 0.0)","(22, 0.0)","(127, 0.0)","(271, 0.0)","(275, 0.0)","(203, 0.0)","(195, 0.0)"
"(285, 0.0)","(253, 0.0)","(227, 0.0)","(220, 0.0)","(128, 0.0)","(274, 0.0)","(277, 0.0)","(204, 0.0)","(196, 0.0)"
"(287, 0.0)","(256, 0.0)","(228, 0.0)","(221, 0.0)","(131, 0.0)","(276, 0.0)","(278, 0.0)","(206, 0.0)","(197, 0.0)"
"(29, 0.0)","(261, 0.0)","(229, 0.0)","(224, 0.0)","(132, 0.0)","(277, 0.0)","(279, 0.0)","(207, 0.0)","(198, 0.0)"
"(291, 0.0)","(263, 0.0)","(23, 0.0)","(227, 0.0)","(133, 0.0)","(278, 0.0)","(285, 0.0)","(208, 0.0)","(2, 0.0)"
"(292, 0.0)","(267, 0.0)","(230, 0.0)","(229, 0.0)","(14, 0.0)","(279, 0.0)","(292, 0.0)","(21, 0.0)","(20, 0.0)"
"(293, 0.0)","(268, 0.0)","(233, 0.0)","(23, 0.0)","(142, 0.0)","(285, 0.0)","(296, 0.0)","(212, 0.0)","(201, 0.0)"
"(296, 0.0)","(27, 0.0)","(234, 0.0)","(230, 0.0)","(143, 0.0)","(29, 0.0)","(297, 0.0)","(216, 0.0)","(202, 0.0)"
"(297, 0.0)","(270, 0.0)","(24, 0.0)","(231, 0.0)","(144, 0.0)","(291, 0.0)","(298, 0.0)","(217, 0.0)","(203, 0.0)"
"(298, 0.0)","(271, 0.0)","(242, 0.0)","(233, 0.0)","(145, 0.0)","(292, 0.0)","(3, 0.0)","(219, 0.0)","(204, 0.0)"
"(299, 0.0)","(272, 0.0)","(243, 0.0)","(24, 0.0)","(146, 0.0)","(296, 0.0)","(301, 0.0)","(22, 0.0)","(206, 0.0)"
"(30, 0.0)","(273, 0.0)","(244, 0.0)","(242, 0.0)","(147, 0.0)","(298, 0.0)","(303, 0.0)","(224, 0.0)","(207, 0.0)"
"(300, 0.0)","(274, 0.0)","(247, 0.0)","(243, 0.0)","(15, 0.0)","(3, 0.0)","(304, 0.0)","(23, 0.0)","(208, 0.0)"
"(301, 0.0)","(276, 0.0)","(248, 0.0)","(244, 0.0)","(150, 0.0)","(30, 0.0)","(305, 0.0)","(230, 0.0)","(21, 0.0)"
"(302, 0.0)","(278, 0.0)","(250, 0.0)","(245, 0.0)","(153, 0.0)","(300, 0.0)","(306, 0.0)","(231, 0.0)","(212, 0.0)"
"(303, 0.0)","(279, 0.0)","(251, 0.0)","(247, 0.0)","(155, 0.0)","(301, 0.0)","(307, 0.0)","(234, 0.0)","(216, 0.0)"
"(304, 0.0)","(28, 0.0)","(253, 0.0)","(248, 0.0)","(159, 0.0)","(302, 0.0)","(309, 0.0)","(24, 0.0)","(217, 0.0)"
"(305, 0.0)","(285, 0.0)","(256, 0.0)","(250, 0.0)","(16, 0.0)","(303, 0.0)","(318, 0.0)","(242, 0.0)","(219, 0.0)"
"(306, 0.0)","(29, 0.0)","(261, 0.0)","(251, 0.0)","(162, 0.0)","(304, 0.0)","(319, 0.0)","(243, 0.0)","(22, 0.0)"
"(307, 0.0)","(291, 0.0)","(263, 0.0)","(252, 0.0)","(163, 0.0)","(305, 0.0)","(32, 0.0)","(244, 0.0)","(220, 0.0)"
"(308, 0.0)","(292, 0.0)","(267, 0.0)","(253, 0.0)","(164, 0.0)","(306, 0.0)","(325, 0.0)","(245, 0.0)","(224, 0.0)"
"(310, 0.0)","(293, 0.0)","(268, 0.0)","(256, 0.0)","(165, 0.0)","(308, 0.0)","(328, 0.0)","(247, 0.0)","(227, 0.0)"
"(313, 0.0)","(296, 0.0)","(27, 0.0)","(261, 0.0)","(167, 0.0)","(309, 0.0)","(330, 0.0)","(248, 0.0)","(228, 0.0)"
"(317, 0.0)","(297, 0.0)","(270, 0.0)","(263, 0.0)","(170, 0.0)","(310, 0.0)","(34, 0.0)","(25, 0.0)","(23, 0.0)"
"(318, 0.0)","(298, 0.0)","(271, 0.0)","(267, 0.0)","(175, 0.0)","(313, 0.0)","(35, 0.0)","(250, 0.0)","(230, 0.0)"
"(319, 0.0)","(299, 0.0)","(273, 0.0)","(268, 0.0)","(177, 0.0)","(318, 0.0)","(36, 0.0)","(251, 0.0)","(231, 0.0)"
"(32, 0.0)","(30, 0.0)","(274, 0.0)","(27, 0.0)","(178, 0.0)","(319, 0.0)","(37, 0.0)","(252, 0.0)","(234, 0.0)"
"(321, 0.0)","(300, 0.0)","(277, 0.0)","(270, 0.0)","(179, 0.0)","(32, 0.0)","(38, 0.0)","(253, 0.0)","(24, 0.0)"
"(322, 0.0)","(301, 0.0)","(278, 0.0)","(271, 0.0)","(18, 0.0)","(321, 0.0)","(383, 0.0)","(261, 0.0)","(240, 0.0)"
"(323, 0.0)","(302, 0.0)","(279, 0.0)","(272, 0.0)","(180, 0.0)","(323, 0.0)","(385, 0.0)","(263, 0.0)","(242, 0.0)"
"(328, 0.0)","(303, 0.0)","(28, 0.0)","(274, 0.0)","(181, 0.0)","(330, 0.0)","(386, 0.0)","(267, 0.0)","(243, 0.0)"
"(329, 0.0)","(304, 0.0)","(285, 0.0)","(276, 0.0)","(189, 0.0)","(34, 0.0)","(387, 0.0)","(268, 0.0)","(244, 0.0)"
"(33, 0.0)","(305, 0.0)","(287, 0.0)","(277, 0.0)","(193, 0.0)","(36, 0.0)","(388, 0.0)","(270, 0.0)","(245, 0.0)"
"(330, 0.0)","(306, 0.0)","(292, 0.0)","(279, 0.0)","(194, 0.0)","(37, 0.0)","(389, 0.0)","(271, 0.0)","(247, 0.0)"
"(331, 0.0)","(307, 0.0)","(293, 0.0)","(285, 0.0)","(196, 0.0)","(38, 0.0)","(39, 0.0)","(272, 0.0)","(248, 0.0)"
"(332, 0.0)","(308, 0.0)","(296, 0.0)","(29, 0.0)","(198, 0.0)","(39, 0.0)","(391, 0.0)","(273, 0.0)","(25, 0.0)"
"(34, 0.0)","(310, 0.0)","(297, 0.0)","(292, 0.0)","(199, 0.0)","(392, 0.0)","(392, 0.0)","(274, 0.0)","(250, 0.0)"
"(37, 0.0)","(317, 0.0)","(298, 0.0)","(297, 0.0)","(2, 0.0)","(393, 0.0)","(393, 0.0)","(277, 0.0)","(251, 0.0)"
"(385, 0.0)","(318, 0.0)","(299, 0.0)","(298, 0.0)","(200, 0.0)","(394, 0.0)","(394, 0.0)","(278, 0.0)","(252, 0.0)"
"(39, 0.0)","(319, 0.0)","(3, 0.0)","(3, 0.0)","(201, 0.0)","(395, 0.0)","(395, 0.0)","(285, 0.0)","(253, 0.0)"
"(390, 0.0)","(32, 0.0)","(301, 0.0)","(30, 0.0)","(202, 0.0)","(397, 0.0)","(397, 0.0)","(29, 0.0)","(256, 0.0)"
"(391, 0.0)","(323, 0.0)","(303, 0.0)","(300, 0.0)","(203, 0.0)","(398, 0.0)","(398, 0.0)","(290, 0.0)","(261, 0.0)"
"(392, 0.0)","(328, 0.0)","(304, 0.0)","(301, 0.0)","(207, 0.0)","(400, 0.0)","(4, 0.0)","(291, 0.0)","(263, 0.0)"
"(393, 0.0)","(329, 0.0)","(305, 0.0)","(302, 0.0)","(208, 0.0)","(401, 0.0)","(400, 0.0)","(292, 0.0)","(267, 0.0)"
"(394, 0.0)","(33, 0.0)","(306, 0.0)","(303, 0.0)","(209, 0.0)","(406, 0.0)","(401, 0.0)","(295, 0.0)","(268, 0.0)"
"(395, 0.0)","(331, 0.0)","(307, 0.0)","(304, 0.0)","(21, 0.0)","(407, 0.0)","(402, 0.0)","(296, 0.0)","(270, 0.0)"
"(397, 0.0)","(332, 0.0)","(318, 0.0)","(305, 0.0)","(215, 0.0)","(41, 0.0)","(406, 0.0)","(297, 0.0)","(271, 0.0)"
"(398, 0.0)","(34, 0.0)","(319, 0.0)","(306, 0.0)","(216, 0.0)","(410, 0.0)","(407, 0.0)","(298, 0.0)","(272, 0.0)"
"(399, 0.0)","(37, 0.0)","(32, 0.0)","(307, 0.0)","(217, 0.0)","(412, 0.0)","(41, 0.0)","(299, 0.0)","(273, 0.0)"
"(4, 0.0)","(385, 0.0)","(325, 0.0)","(310, 0.0)","(218, 0.0)","(413, 0.0)","(410, 0.0)","(30, 0.0)","(274, 0.0)"
"(40, 0.0)","(39, 0.0)","(328, 0.0)","(313, 0.0)","(22, 0.0)","(414, 0.0)","(413, 0.0)","(300, 0.0)","(275, 0.0)"
"(400, 0.0)","(390, 0.0)","(33, 0.0)","(318, 0.0)","(220, 0.0)","(415, 0.0)","(414, 0.0)","(304, 0.0)","(276, 0.0)"
"(401, 0.0)","(391, 0.0)","(330, 0.0)","(319, 0.0)","(221, 0.0)","(416, 0.0)","(415, 0.0)","(307, 0.0)","(277, 0.0)"
"(407, 0.0)","(392, 0.0)","(34, 0.0)","(32, 0.0)","(224, 0.0)","(417, 0.0)","(416, 0.0)","(308, 0.0)","(278, 0.0)"
"(410, 0.0)","(393, 0.0)","(35, 0.0)","(321, 0.0)","(227, 0.0)","(418, 0.0)","(417, 0.0)","(309, 0.0)","(285, 0.0)"
"(412, 0.0)","(394, 0.0)","(37, 0.0)","(323, 0.0)","(229, 0.0)","(42, 0.0)","(418, 0.0)","(313, 0.0)","(29, 0.0)"
"(413, 0.0)","(395, 0.0)","(385, 0.0)","(34, 0.0)","(23, 0.0)","(420, 0.0)","(42, 0.0)","(317, 0.0)","(290, 0.0)"
"(414, 0.0)","(397, 0.0)","(39, 0.0)","(37, 0.0)","(230, 0.0)","(422, 0.0)","(420, 0.0)","(318, 0.0)","(292, 0.0)"
"(416, 0.0)","(398, 0.0)","(390, 0.0)","(39, 0.0)","(237, 0.0)","(423, 0.0)","(422, 0.0)","(319, 0.0)","(295, 0.0)"
"(418, 0.0)","(399, 0.0)","(391, 0.0)","(390, 0.0)","(242, 0.0)","(424, 0.0)","(423, 0.0)","(324, 0.0)","(297, 0.0)"
"(42, 0.0)","(4, 0.0)","(392, 0.0)","(392, 0.0)","(243, 0.0)","(425, 0.0)","(424, 0.0)","(325, 0.0)","(298, 0.0)"
"(421, 0.0)","(40, 0.0)","(393, 0.0)","(393, 0.0)","(244, 0.0)","(426, 0.0)","(425, 0.0)","(329, 0.0)","(3, 0.0)"
"(422, 0.0)","(400, 0.0)","(394, 0.0)","(394, 0.0)","(248, 0.0)","(427, 0.0)","(426, 0.0)","(332, 0.0)","(30, 0.0)"
"(423, 0.0)","(401, 0.0)","(395, 0.0)","(395, 0.0)","(251, 0.0)","(428, 0.0)","(427, 0.0)","(35, 0.0)","(300, 0.0)"
"(425, 0.0)","(407, 0.0)","(397, 0.0)","(397, 0.0)","(253, 0.0)","(429, 0.0)","(429, 0.0)","(37, 0.0)","(304, 0.0)"
"(426, 0.0)","(410, 0.0)","(398, 0.0)","(40, 0.0)","(256, 0.0)","(44, 0.0)","(43, 0.0)","(38, 0.0)","(307, 0.0)"
"(427, 0.0)","(413, 0.0)","(399, 0.0)","(400, 0.0)","(261, 0.0)","(440, 0.0)","(433, 0.0)","(385, 0.0)","(309, 0.0)"
"(429, 0.0)","(414, 0.0)","(4, 0.0)","(401, 0.0)","(267, 0.0)","(448, 0.0)","(438, 0.0)","(389, 0.0)","(317, 0.0)"
"(43, 0.0)","(416, 0.0)","(40, 0.0)","(407, 0.0)","(268, 0.0)","(45, 0.0)","(439, 0.0)","(39, 0.0)","(319, 0.0)"
"(433, 0.0)","(418, 0.0)","(401, 0.0)","(412, 0.0)","(27, 0.0)","(456, 0.0)","(440, 0.0)","(390, 0.0)","(324, 0.0)"
"(44, 0.0)","(42, 0.0)","(407, 0.0)","(413, 0.0)","(271, 0.0)","(457, 0.0)","(441, 0.0)","(391, 0.0)","(325, 0.0)"
"(440, 0.0)","(421, 0.0)","(410, 0.0)","(414, 0.0)","(277, 0.0)","(458, 0.0)","(442, 0.0)","(392, 0.0)","(329, 0.0)"
"(446, 0.0)","(422, 0.0)","(413, 0.0)","(418, 0.0)","(287, 0.0)","(459, 0.0)","(443, 0.0)","(393, 0.0)","(332, 0.0)"
"(448, 0.0)","(423, 0.0)","(414, 0.0)","(42, 0.0)","(292, 0.0)","(46, 0.0)","(444, 0.0)","(394, 0.0)","(34, 0.0)"
"(45, 0.0)","(425, 0.0)","(416, 0.0)","(422, 0.0)","(304, 0.0)","(462, 0.0)","(445, 0.0)","(395, 0.0)","(35, 0.0)"
"(456, 0.0)","(426, 0.0)","(418, 0.0)","(423, 0.0)","(305, 0.0)","(463, 0.0)","(446, 0.0)","(397, 0.0)","(37, 0.0)"
"(458, 0.0)","(427, 0.0)","(42, 0.0)","(425, 0.0)","(306, 0.0)","(466, 0.0)","(447, 0.0)","(398, 0.0)","(38, 0.0)"
"(459, 0.0)","(429, 0.0)","(421, 0.0)","(426, 0.0)","(318, 0.0)","(467, 0.0)","(448, 0.0)","(402, 0.0)","(383, 0.0)"
"(46, 0.0)","(43, 0.0)","(422, 0.0)","(427, 0.0)","(319, 0.0)","(469, 0.0)","(45, 0.0)","(406, 0.0)","(384, 0.0)"
"(463, 0.0)","(433, 0.0)","(423, 0.0)","(429, 0.0)","(32, 0.0)","(47, 0.0)","(452, 0.0)","(407, 0.0)","(385, 0.0)"
"(464, 0.0)","(44, 0.0)","(425, 0.0)","(43, 0.0)","(34, 0.0)","(470, 0.0)","(457, 0.0)","(41, 0.0)","(386, 0.0)"
"(465, 0.0)","(440, 0.0)","(426, 0.0)","(44, 0.0)","(36, 0.0)","(471, 0.0)","(458, 0.0)","(410, 0.0)","(387, 0.0)"
"(467, 0.0)","(446, 0.0)","(427, 0.0)","(440, 0.0)","(37, 0.0)","(474, 0.0)","(459, 0.0)","(412, 0.0)","(388, 0.0)"
"(470, 0.0)","(448, 0.0)","(429, 0.0)","(448, 0.0)","(38, 0.0)","(477, 0.0)","(46, 0.0)","(413, 0.0)","(389, 0.0)"
"(473, 0.0)","(45, 0.0)","(43, 0.0)","(45, 0.0)","(385, 0.0)","(478, 0.0)","(462, 0.0)","(414, 0.0)","(39, 0.0)"
"(474, 0.0)","(456, 0.0)","(433, 0.0)","(456, 0.0)","(39, 0.0)","(48, 0.0)","(463, 0.0)","(415, 0.0)","(391, 0.0)"
"(476, 0.0)","(458, 0.0)","(440, 0.0)","(457, 0.0)","(390, 0.0)","(481, 0.0)","(466, 0.0)","(416, 0.0)","(393, 0.0)"
"(477, 0.0)","(459, 0.0)","(446, 0.0)","(458, 0.0)","(391, 0.0)","(482, 0.0)","(467, 0.0)","(417, 0.0)","(395, 0.0)"
"(478, 0.0)","(46, 0.0)","(448, 0.0)","(459, 0.0)","(392, 0.0)","(485, 0.0)","(468, 0.0)","(42, 0.0)","(398, 0.0)"
"(479, 0.0)","(463, 0.0)","(45, 0.0)","(463, 0.0)","(393, 0.0)","(486, 0.0)","(469, 0.0)","(420, 0.0)","(399, 0.0)"
"(48, 0.0)","(464, 0.0)","(457, 0.0)","(467, 0.0)","(394, 0.0)","(487, 0.0)","(47, 0.0)","(421, 0.0)","(402, 0.0)"
"(480, 0.0)","(465, 0.0)","(458, 0.0)","(470, 0.0)","(395, 0.0)","(488, 0.0)","(470, 0.0)","(422, 0.0)","(406, 0.0)"
"(481, 0.0)","(467, 0.0)","(459, 0.0)","(471, 0.0)","(397, 0.0)","(489, 0.0)","(471, 0.0)","(423, 0.0)","(407, 0.0)"
"(482, 0.0)","(470, 0.0)","(46, 0.0)","(473, 0.0)","(4, 0.0)","(493, 0.0)","(472, 0.0)","(424, 0.0)","(41, 0.0)"
